Frame	Timestamp(s)	VAD_Score	VAD_Result
244	3.904	0.803191	1
245	3.920	0.798925	1
246	3.936	0.816762	1
247	3.952	0.806231	1
248	3.968	0.813055	1
249	3.984	0.801946	1
250	4.000	0.805590	1
251	4.016	0.790149	1
252	4.032	0.838130	1
253	4.048	0.853584	1
254	4.064	0.822908	1
255	4.080	0.819453	1
256	4.096	0.807389	1
257	4.112	0.788323	1
258	4.128	0.762246	1
259	4.144	0.747804	1
260	4.160	0.726664	1
261	4.176	0.714934	1
262	4.192	0.760308	1
263	4.208	0.806202	1
264	4.224	0.775709	1
265	4.240	0.761734	1
266	4.256	0.745719	1
267	4.272	0.750159	1
268	4.288	0.768018	1
269	4.304	0.771169	1
270	4.320	0.812960	1
271	4.336	0.831208	1
272	4.352	0.845131	1
273	4.368	0.835368	1
274	4.384	0.794051	1
275	4.400	0.761097	1
276	4.416	0.749273	1
277	4.432	0.740299	1
278	4.448	0.737779	1
279	4.464	0.755870	1
280	4.480	0.798380	1
281	4.496	0.828690	1
282	4.512	0.818765	1
283	4.528	0.785589	1
284	4.544	0.762313	1
285	4.560	0.783693	1
286	4.576	0.799445	1
287	4.592	0.806133	1
288	4.608	0.812333	1
289	4.624	0.798514	1
290	4.640	0.769233	1
291	4.656	0.788829	1
292	4.672	0.765698	1
293	4.688	0.770143	1
294	4.704	0.790989	1
295	4.720	0.805431	1
296	4.736	0.778518	1
297	4.752	0.792114	1
298	4.768	0.804086	1
299	4.784	0.804545	1
300	4.800	0.800085	1
301	4.816	0.795258	1
302	4.832	0.797737	1
303	4.848	0.810377	1
304	4.864	0.805566	1
305	4.880	0.828776	1
306	4.896	0.808182	1
307	4.912	0.819819	1
308	4.928	0.788414	1
309	4.944	0.791709	1
310	4.960	0.755277	1
311	4.976	0.745516	1
312	4.992	0.760561	1
313	5.008	0.754979	1
314	5.024	0.748657	1
315	5.040	0.744129	1
316	5.056	0.759992	1
317	5.072	0.825625	1
318	5.088	0.766185	1
319	5.104	0.778488	1
320	5.120	0.798054	1
321	5.136	0.866579	1
322	5.152	0.793308	1
323	5.168	0.762585	1
324	5.184	0.801172	1
325	5.200	0.846172	1
326	5.216	0.851590	1
327	5.232	0.786658	1
328	5.248	0.789615	1
329	5.264	0.738239	1
330	5.280	0.783723	1
331	5.296	0.800321	1
332	5.312	0.781850	1
333	5.328	0.783684	1
334	5.344	0.782757	1
335	5.360	0.822361	1
336	5.376	0.804638	1
337	5.392	0.802855	1
338	5.408	0.811763	1
339	5.424	0.824778	1
340	5.440	0.795846	1
341	5.456	0.774163	1
